last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Renfroe, Hunter,592669,299,18.5,29.1,113.7,89.9,97.4,85.3,438,184,402,130,43.8,37,12.4,8.4
Williams, Nick,608384,296,10.2,37.2,113.3,88.6,90.8,87.5,439,174,401,110,37.2,20,6.8,4.5
Belt, Brandon,474832,294,22.5,43.9,107.6,86.1,90.5,79.5,429,217,389,93,31.6,31,10.5,6.8
Gallo, Joey,608336,293,21.6,37.5,117.5,93.9,99.9,85.2,472,225,409,144,49.1,66,22.5,11.4
Travis, Devon,581527,293,7.8,31.7,111.5,88.3,92.0,87.1,428,147,393,109,37.5,15,5.1,4.0
Nimmo, Brandon,607043,293,10.5,33.4,110.9,89.5,94.1,87.5,449,159,397,123,42.1,19,6.5,3.6
Murphy, Daniel,502517,291,16.3,42.3,106.9,87.6,89.4,87.1,425,195,394,83,28.5,14,4.8,4.0
Schwarber, Kyle,656941,291,11.5,34.0,117.1,90.0,95.6,85.9,444,177,404,131,45.0,37,12.7,7.3
Jones, JaCoby,592444,290,12.0,35.5,112.3,88.0,92.6,85.1,422,175,385,103,35.5,17,5.9,3.6
Forsythe, Logan,523253,289,10.4,29.4,106.1,87.3,89.6,86.4,423,151,393,86,29.8,3,1.0,0.7
Gomes, Yan,543228,287,18.5,41.8,109.1,88.9,92.3,85.1,435,200,391,110,38.7,24,8.4,5.5
Bryant, Kris,592178,285,17.7,38.2,110.2,85.8,91.3,78.8,448,186,406,95,33.5,27,9.5,5.9
Schebler, Scott,594988,283,8.6,32.9,111.1,90.2,94.1,88.0,449,161,406,120,42.4,30,10.6,7.0
Harrison, Josh,543281,283,14.9,36.0,105.1,84.7,90.3,78.8,421,180,386,74,26.1,11,3.9,2.9
Davis, Chris,448801,282,14.7,35.5,111.8,89.0,94.5,83.0,434,189,403,113,40.1,29,10.3,5.6
