last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Sanchez, Yolmer,570560,2015,420,315,.224,.239,-.015,.326,.304,.022,.262,.263,-.001
Lucroy, Jonathan,518960,2015,415,314,.264,.282,-.018,.391,.420,-.029,.313,.337,-.024
Espinosa, Danny,457787,2015,412,267,.240,.210,.030,.409,.338,.071,.309,.272,.037
Rios, Alex,425567,2015,411,324,.255,.262,-.007,.353,.369,-.016,.279,.291,-.012
Cuddyer, Michael,150212,2015,408,292,.259,.257,.002,.391,.389,.002,.306,.306,.000
Tejada, Ruben,514913,2015,407,294,.261,.268,-.007,.350,.368,-.018,.303,.318,-.015
Cron, C.J.,543068,2015,404,299,.262,.253,.009,.439,.443,-.004,.318,.317,.001
Soler, Jorge,624585,2015,404,248,.262,.265,-.003,.399,.417,-.018,.312,.322,-.010
Montero, Miguel,471083,2015,403,247,.248,.239,.009,.409,.422,-.013,.328,.330,-.002
Alonso, Yonder,475174,2015,402,309,.282,.277,.005,.381,.389,-.008,.327,.333,-.006
Sogard, Eric,519299,2015,401,326,.247,.270,-.023,.304,.324,-.020,.265,.284,-.019
Suarez, Eugenio,553993,2015,398,284,.280,.240,.040,.446,.383,.063,.328,.287,.041
Uribe, Juan,346874,2015,397,281,.253,.245,.008,.417,.387,.030,.319,.306,.013
Aoki, Norichika,493114,2015,392,331,.287,.270,.017,.380,.330,.050,.325,.302,.023
Gennett, Scooter,571697,2015,391,307,.264,.253,.011,.381,.334,.047,.289,.267,.022
Murphy, David,461815,2015,391,318,.283,.265,.018,.421,.386,.035,.318,.300,.018
Venable, Will,461416,2015,390,257,.244,.239,.005,.350,.321,.029,.295,.283,.012
Hicks, Aaron,543305,2015,390,288,.256,.283,-.027,.398,.426,-.028,.314,.338,-.024
Zimmerman, Ryan,475582,2015,390,277,.249,.291,-.042,.465,.517,-.052,.329,.371,-.042
Lamb, Jake,571875,2015,390,256,.263,.260,.003,.386,.392,-.006,.312,.317,-.005
Gomes, Yan,543228,2015,389,265,.231,.242,-.011,.391,.420,-.029,.283,.301,-.018
Hundley, Nick,460026,2015,389,291,.301,.250,.051,.467,.365,.102,.348,.288,.060
Loney, James,425766,2015,388,330,.280,.267,.013,.357,.347,.010,.294,.290,.004
Zunino, Mike,572287,2015,386,228,.174,.184,-.010,.300,.344,-.044,.235,.255,-.020
Guyer, Brandon,446386,2015,385,275,.265,.242,.023,.413,.361,.052,.342,.315,.027
Paredes, Jimmy,517370,2015,384,254,.275,.242,.033,.416,.376,.040,.314,.286,.028
Valencia, Danny,502143,2015,378,268,.290,.281,.009,.519,.489,.030,.367,.353,.014
Castillo, Welington,456078,2015,378,255,.237,.248,-.011,.453,.475,-.022,.321,.334,-.013
Werth, Jayson,150029,2015,378,253,.221,.246,-.025,.384,.424,-.040,.300,.325,-.025
Castro, Jason,488771,2015,375,225,.211,.215,-.004,.365,.351,.014,.284,.282,.002
Marisnick, Jake,545350,2015,372,244,.236,.229,.007,.383,.354,.029,.288,.277,.011
Blanco, Gregor,453923,2015,372,271,.291,.281,.010,.413,.394,.019,.337,.329,.008
Davis, Rajai,434658,2015,370,269,.258,.257,.001,.440,.360,.080,.320,.295,.025
Gonzalez, Marwin,503556,2015,370,277,.279,.255,.024,.442,.377,.065,.329,.295,.034
Pena, Brayan,430910,2015,367,302,.273,.253,.020,.324,.305,.019,.294,.282,.012
De Aza, Alejandro,457477,2015,365,245,.262,.250,.012,.422,.364,.058,.326,.303,.023
Chisenhall, Lonnie,502082,2015,362,269,.246,.252,-.006,.372,.369,.003,.288,.290,-.002
Flowers, Tyler,452095,2015,361,230,.239,.215,.024,.356,.344,.012,.288,.274,.014
Colabello, Chris,499624,2015,360,239,.321,.269,.052,.520,.446,.074,.381,.334,.047
Amarista, Alexi,506560,2015,357,277,.204,.214,-.010,.287,.288,-.001,.236,.246,-.010
Young, Chris,455759,2015,356,250,.252,.236,.016,.453,.366,.087,.332,.294,.038
Joseph, Caleb,543376,2015,355,252,.234,.247,-.013,.394,.413,-.019,.301,.317,-.016
Rendon, Anthony,543685,2015,355,245,.264,.272,-.008,.363,.402,-.039,.315,.335,-.020
Ramirez, Jose,608070,2015,355,283,.219,.247,-.028,.340,.335,.005,.280,.291,-.011
Paulsen, Ben,572019,2015,354,237,.277,.258,.019,.462,.400,.062,.338,.311,.027
Hill, Aaron,431094,2015,353,267,.230,.241,-.011,.345,.357,-.012,.281,.297,-.016
Robinson, Clint,519208,2015,352,258,.272,.281,-.009,.424,.443,-.019,.340,.351,-.011
Grichuk, Randal,545341,2015,350,214,.276,.257,.019,.548,.506,.042,.370,.345,.025
Spangenberg, Cory,605486,2015,345,239,.271,.276,-.005,.399,.361,.038,.319,.311,.008
Francoeur, Jeff,425796,2015,343,252,.258,.255,.003,.433,.381,.052,.308,.290,.018
