,avg_hit_angle,avg_hit_speed,fbld,avg_hr_distance,ev95percent,brl_pa,ba,est_ba,slg,est_slg,woba,est_woba,Age,HR,OBP,OPS,HR_per_PA,RBI_per_PA,SO_per_PA,SH_per_PA,SF_per_PA,IBB_per_PA,CHR_per_PA,AS__2,AS__3,Tm__ATL,Tm__BAL,Tm__BOS,Tm__CHC,Tm__CHW,Tm__CIN,Tm__CLE,Tm__COL,Tm__DET,Tm__HOU,Tm__KCR,Tm__LAA,Tm__LAD,Tm__MIA,Tm__MIL,Tm__MIN,Tm__NYM,Tm__NYY,Tm__OAK,Tm__PHI,Tm__PIT,Tm__SDP,Tm__SEA,Tm__SFG,Tm__STL,Tm__TBR,Tm__TEX,Tm__TOR,Tm__TOT,Tm__WSN
124,6.8,88.7,91.9,391.0,39.8,2.7,0.267,0.275,0.385,0.389,0.305,0.311,28.0,9,0.311,0.696,0.0,0.09108159392789374,0.23908918406072105,0.0056925996204933585,0.0018975332068311196,0.0,0.017077798861480076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,19.4,89.6,94.8,408.0,43.3,6.5,0.275,0.243,0.488,0.476,0.371,0.353,23.0,26,0.369,0.858,0.055793991416309016,0.1523076923076923,0.30615384615384617,0.0,0.007692307692307693,0.0,0.04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,11.5,91.4,96.8,405.0,45.3,7.6,0.278,0.278,0.482,0.512,0.348,0.361,29.0,23,0.33,0.812,0.0437375745526839,0.1650485436893204,0.2174757281553398,0.0,0.009708737864077669,0.003883495145631068,0.04466019417475728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,7.2,85.9,88.7,388.0,24.2,0.4,0.28,0.263,0.379,0.337,0.321,0.303,27.0,2,0.349,0.727,0.021604938271604937,0.08840864440078586,0.1905697445972495,0.007858546168958742,0.003929273084479371,0.0,0.003929273084479371,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,6.1,87.5,92.6,408.0,35.4,2.9,0.295,0.263,0.401,0.397,0.341,0.327,29.0,7,0.37,0.7709999999999999,0.002544529262086514,0.08431372549019608,0.1843137254901961,0.00784313725490196,0.00196078431372549,0.00196078431372549,0.013725490196078431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,2.6,82.4,86.0,342.0,13.8,0.5,0.229,0.244,0.279,0.289,0.25,0.264,41.0,1,0.282,0.561,0.0027397260273972607,0.04794520547945205,0.11643835616438356,0.01141552511415525,0.0091324200913242,0.00228310502283105,0.00228310502283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,16.1,86.9,90.3,384.0,30.3,3.9,0.261,0.252,0.443,0.4,0.335,0.322,30.0,18,0.341,0.7829999999999999,0.02631578947368421,0.13894324853228962,0.1898238747553816,0.0,0.015655577299412915,0.011741682974559686,0.03522504892367906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,11.2,87.0,93.0,401.0,32.8,4.0,0.261,0.246,0.465,0.385,0.334,0.301,21.0,16,0.316,0.7809999999999999,0.052215189873417715,0.12978723404255318,0.16808510638297872,0.00425531914893617,0.010638297872340425,0.00425531914893617,0.03404255319148936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,11.3,85.8,89.7,396.0,24.4,1.1,0.287,0.27,0.39,0.371,0.313,0.299,27.0,4,0.327,0.7170000000000001,0.007662835249042145,0.062360801781737196,0.15812917594654788,0.0066815144766146995,0.004454342984409799,0.0022271714922048997,0.008908685968819599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,7.6,91.8,95.8,415.0,45.0,4.3,0.259,0.272,0.383,0.428,0.302,0.324,24.0,10,0.308,0.691,0.03782894736842105,0.08906882591093117,0.22267206477732793,0.0,0.004048582995951417,0.0020242914979757085,0.020242914979757085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,7.0,79.6,84.8,394.0,8.6,0.4,0.226,0.246,0.289,0.29600000000000004,0.251,0.267,24.0,4,0.274,0.563,0.006521739130434782,0.06167400881057269,0.16519823788546256,0.019823788546255508,0.00881057268722467,0.0,0.00881057268722467,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
